id,item_date,quantity tons,customer,country,status,item type,application,thickness,width,product_ref,delivery date,selling_price
DF14501E-DE17-47D2-BC99-79CDE7D3C20A,20201215.0,17.3097049678552,30157111.0,78.0,Success,W,41.0,1.0,1250.0,611993,20210301.0,1010.0
07F82130-4402-4D84-8843-412CA500FC27,20201215.0,25.086513043088438,30157111.0,78.0,Success,W,41.0,0.75,1246.0,611993,20210301.0,950.0
6DE28048-C872-48A4-A877-268F77ACB0CB,20201215.0,18.963907443451873,30157111.0,78.0,Success,W,41.0,1.0,1250.0,611993,20210301.0,1013.0
2337BB78-CF63-4DC8-BD37-7BDA7D845E51,20201215.0,20.526957697462272,30157111.0,78.0,Success,W,41.0,0.75,1500.0,611993,20210301.0,960.0
3118E396-25F4-4F01-BE99-3AF01FE87C09,20201215.0,22.859324181921647,30157111.0,78.0,Success,W,41.0,1.0,1250.0,611993,20210301.0,977.0
82B126A2-DF3E-4728-89C6-3B8B5F5D5371,20201215.0,19.31574487946573,30157111.0,78.0,Success,W,41.0,0.8,1500.0,611993,20210301.0,962.0
0258B325-8A05-41E5-9A60-8EA3E6299844,20201215.0,17.0738938340781,30157111.0,78.0,Success,W,41.0,1.0,1250.0,611993,20210301.0,919.0
33773BD0-6C8A-4713-9699-B5618320287D,20201215.0,20.53472268811542,30157111.0,78.0,Success,W,41.0,0.75,1246.0,611993,20210301.0,1072.0
FBAE99DB-18F0-414C-96F7-74307E2AE8E9,20201215.0,19.32721862488611,30157111.0,78.0,Success,W,41.0,1.0,1250.0,611993,20210301.0,895.0
290CFAE4-0026-4BEC-A212-9EA49B972652,20201215.0,23.785929027592957,30157111.0,78.0,Success,W,41.0,0.7,1246.0,611993,20210301.0,964.0
B7CFA4D3-2180-45D6-AB5F-B00685159050,20201215.0,21.6620957082746,30157111.0,78.0,Success,W,41.0,0.7,1250.0,611993,20210301.0,929.0
7269969C-F966-4F84-B6BE-489373235A70,20201215.0,123.02290552509137,30157111.0,78.0,Success,W,41.0,0.75,1500.0,611993,20210301.0,876.0
C774C95B-860F-48C5-8A08-424485BAFCBC,20201215.0,24.833549028525347,30157111.0,78.0,Success,W,41.0,0.7,1250.0,611993,20210301.0,942.0
3DBAC0C7-7903-4785-84A9-312A980950D0,20201215.0,21.847172917688148,30157111.0,78.0,Success,W,41.0,0.88,1246.0,611993,20210301.0,956.0
9309E795-AB4D-4D28-BA60-CB5BBED2BD37,20201215.0,19.034169395971578,30157111.0,78.0,Success,W,41.0,0.7,1250.0,611993,20210301.0,951.0
14ECB4EF-027A-4C35-9744-B08DD395FEE7,20201215.0,26.35844540308267,30157111.0,78.0,Success,W,41.0,1.25,1246.0,611993,20210301.0,853.0
58025313-0712-4CE4-A71F-2A209980B5F7,20201215.0,24.61826411446708,30157111.0,78.0,Success,W,41.0,0.7,1250.0,611993,20210301.0,950.0
0F78C9AE-E01C-49F7-8057-BA7215091FA8,20201215.0,19.672868209190565,30157111.0,78.0,Success,W,41.0,1.0,1246.0,611993,20210301.0,905.0
AD2B9208-A28A-45B8-9B4C-65129F2FB3BF,20201215.0,19.642366136755054,30157111.0,78.0,Success,W,41.0,0.88,1500.0,611993,20210301.0,1025.0
308FA8B9-D3CE-4EA8-BC0E-F590209751FC,20201215.0,25.94970262883975,30157111.0,78.0,Success,W,41.0,1.0,1500.0,611993,20210301.0,868.0
44AB3D11-4760-4DEA-AAAA-9D4C4863C981,20201215.0,23.2836234941348,30157111.0,78.0,Success,W,41.0,1.0,1246.0,611993,20210301.0,1109.0
1E9CF3EE-D86B-4096-8956-8498F7B6F4E1,20201215.0,23.925589224053134,30157111.0,78.0,Success,W,41.0,0.88,1500.0,611993,20210301.0,933.0
0FBE6027-FEEF-4101-BDE5-324244646C55,20201215.0,21.253745635519195,30157111.0,78.0,Success,W,41.0,1.15,1500.0,611993,20210301.0,994.0
F68B24C3-EEB3-487A-8A94-CE1C8B62D114,20201215.0,16.903330118575685,30157111.0,78.0,Success,W,41.0,1.25,1500.0,611993,20210301.0,856.0
77C40CF2-512D-4520-B054-99454DCEB7A6,20201215.0,25.018716110569798,30157111.0,78.0,Success,W,41.0,0.88,1500.0,611993,20210301.0,945.0
B98FF25E-9837-48A1-B3E0-CA8E7E91E665,20201215.0,44.75201956142146,30157111.0,78.0,Success,W,41.0,0.7,1246.0,611993,20210301.0,920.0
C211092C-4CE8-4831-A3BF-76FF58AA709F,20201215.0,26.3802424823384,30157111.0,78.0,Success,W,41.0,0.88,1250.0,611993,20210301.0,1200.0
AEA37A9C-D3BE-4F16-BAA3-F68DF4F0778D,20201215.0,23.324217108180356,30157111.0,78.0,Success,W,41.0,0.7,1250.0,611993,20210301.0,1107.0
496C3669-91B2-4324-836D-52AB6533165B,20201215.0,24.640719769186177,30157111.0,78.0,Success,W,41.0,1.5,1020.0,611993,20210301.0,944.0
50C2C738-83B3-4ABD-A02C-55DAC0805F43,20201215.0,23.317989861524975,30157111.0,78.0,Success,W,41.0,0.6,1250.0,611993,20210301.0,1137.0
E1C0AE46-01F4-4A89-8B43-5CF49415A9DE,20201215.0,21.408985857905574,30157111.0,78.0,Success,W,41.0,1.2,1000.0,611993,20210301.0,1085.0
3050EDA0-C075-419F-B13F-4A84260C3F3D,20201215.0,22.427204479330488,30157111.0,78.0,Success,W,41.0,0.75,1250.0,611993,20210301.0,995.0
2899AC39-587F-4BCF-AFC2-1162C6D10783,20201215.0,23.785373116476407,30157111.0,78.0,Success,W,41.0,0.8,1500.0,611993,20210301.0,881.0
B21680B5-6309-486D-9046-90A2DBEC0D0C,20201215.0,23.059648436835612,30157111.0,78.0,Success,W,41.0,0.88,1250.0,611993,20210301.0,958.0
54CF5A42-FC88-4669-8EF7-58CBC5CACB40,20201215.0,21.33866975363329,30157111.0,78.0,Success,W,41.0,1.5,1500.0,611993,20210301.0,927.0
03556F90-AD1A-453E-802F-B53A30F10EAC,20201215.0,24.014119823743144,30157111.0,78.0,Success,W,41.0,0.75,1250.0,611993,20210301.0,1216.0
DE6E4AA1-2A8A-42F5-B080-C3E062C7B2EA,20201215.0,26.223348859657175,30157111.0,78.0,Success,W,41.0,0.7,1246.0,611993,20210301.0,959.0
B1895003-4681-40CA-BD8E-05AD68E64C90,20201215.0,24.886001610958324,30157111.0,78.0,Success,W,41.0,0.88,1250.0,611993,20210301.0,1054.0
